city,state,lat,lng
Brooklyn Park,MN,45.1112,-93.3505
Newport Beach,CA,33.6151,-117.8668
Mountain View,CA,37.4001,-122.0796
Westland,MI,42.3192,-83.3805
Farmington Hills,MI,42.486,-83.3771
The Villages,FL,28.9034,-81.9887
Layton,UT,41.077,-111.962
Cranston,RI,41.7658,-71.4858
Warwick,RI,41.7062,-71.4334
Madera,CA,36.963,-120.0778
Buena Park,CA,33.8572,-118.0046
Homestead,FL,25.4665,-80.4472
Cicero,IL,41.8445,-87.7593
New Rochelle,NY,40.9304,-73.7836
South Jordan,UT,40.557,-111.9784
Largo,FL,27.9088,-82.7712
Redwood City,CA,37.5025,-122.2253
Newark,OH,40.0706,-82.425
Napa,CA,38.2975,-122.301
Miami Beach,FL,25.8171,-80.1396
Johns Creek,GA,34.0333,-84.2027
Rancho Cordova,CA,38.5737,-121.2527
Silver Spring,MD,39.0028,-77.0207
Boynton Beach,FL,26.5281,-80.0811
Elizabethtown,KY,37.7031,-85.8773
Flagstaff,AZ,35.1872,-111.6194
Somerville,MA,42.3908,-71.1014
Alhambra,CA,34.084,-118.1355
Springfield,OH,39.93,-83.7959
Albany,GA,31.5776,-84.1762
Anderson,IN,40.0891,-85.6892
Terre Haute,IN,39.466,-87.3751
Perris,CA,33.7898,-117.2233
Jackson,MI,42.2431,-84.4038
Florence,AL,34.8303,-87.6655
Pharr,TX,26.1685,-98.1904
Alton,IL,38.9037,-90.152
Anniston,AL,33.6712,-85.8135
Jonesboro,AR,35.8212,-90.6791
Decatur,IL,39.8557,-88.9342
Pine Hills,FL,28.5818,-81.4692
Cheyenne,WY,41.135,-104.7902
Port Huron,MI,42.9821,-82.4388
Parma,OH,41.3843,-81.7286
Lakewood,CA,33.8471,-118.1222
Hattiesburg,MS,31.3074,-89.317
Turlock,CA,37.5053,-120.8588
Pasco,WA,46.2506,-119.1305
Kendall,FL,25.6697,-80.3556
Upland,CA,34.1178,-117.6604
Plymouth,MN,45.0225,-93.4617
Doral,FL,25.8152,-80.3565
Castle Rock,CO,39.3763,-104.8535
Valdosta,GA,30.8502,-83.2788
Daytona Beach,FL,29.1995,-81.0982
Tustin,CA,33.7311,-117.8107
Milpitas,CA,37.4336,-121.8921
Loveland,CO,40.4166,-105.0623
Flower Mound,TX,33.0343,-97.1146
Woodbury,MN,44.9057,-92.923
Cedar Park,TX,30.5105,-97.8197
Bethlehem,PA,40.6266,-75.3679
Chino Hills,CA,33.9508,-117.7254
Wausau,WI,44.962,-89.6459
Morgantown,WV,39.6383,-79.9464
Davis,CA,38.5553,-121.737
Mableton,GA,33.8133,-84.5655
Mansfield,TX,32.569,-97.1213
Wyoming,MI,42.8908,-85.7066
Redmond,WA,47.6763,-122.1169
Alameda,CA,37.7668,-122.267
Saratoga Springs,NY,43.0674,-73.7775
Rochester Hills,MI,42.6645,-83.1563
Pleasanton,CA,37.6663,-121.8805
Carmichael,CA,38.6318,-121.3263
Camarillo,CA,34.223,-119.0321
Schaumburg,IL,42.0308,-88.0838
Bellflower,CA,33.888,-118.1271
Texarkana,TX,33.45,-94.0847
Hammond,IN,41.6168,-87.4909
Salisbury,MD,38.3756,-75.5865
Missouri City,TX,29.563,-95.5365
Dothan,AL,31.2336,-85.407
Alexandria,LA,31.2923,-92.4702
Evanston,IL,42.0464,-87.6943
Broomfield,CO,39.9542,-105.0526
Pittsburg,CA,38.0182,-121.8965
Southfield,MI,42.4765,-83.2605
Wesley Chapel,FL,28.2106,-82.3238
